user_id,signup_date,last_order_date,total_orders,total_spend,favorite_cuisine,last_platform_used,days_since_last_order,last_order_value,customer_lifetime_value,number_of_orders,number_of_users_referred
3eb13b90-4668-4257-bdd6-40fb06671ad1,2025-01-03,2025-03-08,38,1798.82,Pizza,iOS,200,49.17,2948.23,38,1
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,2025-07-16,2024-10-18,5,240.17,Burgers,Web,341,38.82,360.25,5,0
0822e8f3-6c03-4199-972a-846916419f82,2024-07-07,2025-08-26,237,20067.35,Burgers,iOS,29,88.45,31351.02,237,5
9a1de644-815e-46d1-bb8f-aa1837f8a88b,2025-06-28,2024-09-30,7,239.29,Asian,Android,359,32.36,358.94,7,0
b38a088c-a65e-4389-b74d-0fb132e70629,2023-10-14,2024-11-06,12,892.77,Burgers,Web,322,72.92,1589.16,12,1
47378190-96da-4dac-b2ff-5d2a386ecbe0,2025-08-13,2024-09-20,2,78.28,Burgers,iOS,369,42.02,117.42,2,0
28df6ec4-ce4a-4bbd-8241-330b01a9e71f,2025-09-06,2024-10-26,7,246.41,Arabic,iOS,333,30.73,369.61,7,0
371ecd7b-27cd-4130-8722-9389571aa876,2025-02-15,2024-11-27,13,616.12,Arabic,Android,301,52.61,1424.19,13,2
6142ea7d-17be-4111-9a2a-73ed562b0f79,2025-09-19,2024-10-05,8,318.37,Healthy,iOS,354,40.13,477.55,8,0
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,2023-12-04,2025-02-28,33,1790.91,Healthy,Android,208,55.2,2686.37,33,0
1ff49b78-8946-4e85-b59c-de66bacfb3d0,2024-05-06,2025-08-31,120,12464.65,Italian,Android,24,91.35,19196.98,120,2
4b0dbb41-8d52-48f1-942c-3fe860e7a113,2024-08-25,2025-03-13,39,3182.67,Indian,Web,195,95.52,5024.01,39,1
5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,2024-03-21,2024-11-20,16,1011.77,Healthy,Android,308,58.45,1517.66,16,0
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,2025-08-16,2024-10-07,3,140.51,Indian,Android,352,55.67,210.77,3,0
daf61a26-146d-4f31-bc37-7a4c4a15544d,2024-03-09,2025-01-08,23,1374.29,Burgers,iOS,259,58.02,2061.44,23,0
7412b293-4729-4739-a14f-f3d719db3ad0,2023-03-13,2025-08-25,280,30248.29,Healthy,iOS,30,108.4,46872.44,280,6
5af30553-5ec4-4e08-a9a3-b2e95d65a441,2025-01-01,2025-03-12,38,1867.77,Burgers,Web,196,45.02,2801.66,38,0
aefcfad8-efc8-4849-b3aa-7efe4458a885,2022-05-11,2025-07-07,61,3307.41,Asian,Android,79,48.11,4961.11,61,0
88bd6407-2bcf-4e01-a28d-efe39bf00273,2025-01-10,2025-03-02,37,2007.32,Asian,iOS,206,49.31,3510.98,37,2
